#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 02 10 15 30 210  5.0  6.0    MM    MM    MM  MM 1011.1    MM   4.3    MM   MM   MM    MM
2022 02 10 15 20 220  5.0  6.0    MM    MM    MM  MM 1011.2    MM   4.2    MM   MM   MM    MM
2022 02 10 15 10 220  5.0  6.0    MM    MM    MM  MM 1011.2    MM   4.2    MM   MM   MM    MM
2022 02 10 15 00 210  5.0  5.0    MM    MM    MM  MM 1011.3    MM   4.1    MM   MM   MM    MM
2022 02 10 14 50 210  5.0  6.0   0.7     4   4.4 174 1011.2    MM   4.1    MM   MM   MM    MM
2022 02 10 14 40 210  4.0  5.0   0.7    MM   4.4 174 1011.2    MM   4.0    MM   MM   MM    MM
2022 02 10 14 30 220  5.0  6.0    MM    MM    MM  MM 1011.2    MM   4.1    MM   MM   MM    MM
2022 02 10 14 20 220  5.0  6.0    MM    MM    MM  MM 1011.3    MM   4.1    MM   MM   MM    MM
2022 02 10 14 10 220  4.0  6.0    MM    MM    MM  MM 1011.3    MM   4.0    MM   MM   MM    MM
2022 02 10 14 00 220  4.0  5.0    MM    MM    MM  MM 1011.4    MM   4.0    MM   MM   MM    MM
2022 02 10 13 50 230  4.0  4.0   0.6     9   4.6 115 1011.5    MM   3.9    MM   MM   MM    MM
2022 02 10 13 40 230  3.0  4.0   0.6    MM   4.6 115 1011.6    MM   3.9    MM   MM   MM    MM
2022 02 10 13 30 240  3.0  4.0    MM    MM    MM  MM 1011.6    MM   3.9    MM   MM   MM    MM
2022 02 10 13 20 240  3.0  4.0    MM    MM    MM  MM 1011.6    MM   3.8    MM   MM   MM    MM
2022 02 10 13 10 240  2.0  3.0    MM    MM    MM  MM 1011.6    MM   3.8    MM   MM   MM    MM
2022 02 10 13 00 240  3.0  4.0    MM    MM    MM  MM 1011.6    MM   3.8    MM   MM +0.8    MM
2022 02 10 12 50 240  3.0  3.0   0.6     5   4.6 172 1011.5    MM   3.8    MM   MM   MM    MM
2022 02 10 12 40 260  2.0  3.0   0.6    MM   4.6 172 1011.3    MM   3.8    MM   MM   MM    MM
2022 02 10 12 30 300  1.0  3.0    MM    MM    MM  MM 1011.2    MM   3.7    MM   MM   MM    MM
2022 02 10 12 20 290  2.0  3.0    MM    MM    MM  MM 1011.2    MM   3.8    MM   MM   MM    MM
2022 02 10 12 10 250  2.0  2.0    MM    MM    MM  MM 1011.1    MM   3.8    MM   MM   MM    MM
2022 02 10 12 00 220  2.0  2.0    MM    MM    MM  MM 1010.9    MM   3.8    MM   MM -0.0    MM
2022 02 10 11 50 210  2.0  2.0   0.6    10   4.7 130 1010.7    MM   3.9    MM   MM   MM    MM
2022 02 10 11 40 190  2.0  2.0   0.6    MM   4.7 130 1010.7    MM   3.9    MM   MM   MM    MM
2022 02 10 11 30 190  2.0  2.0    MM    MM    MM  MM 1010.6    MM   4.0    MM   MM   MM    MM
2022 02 10 11 20 160  1.0  2.0    MM    MM    MM  MM 1010.6    MM   4.1    MM   MM   MM    MM
2022 02 10 11 10  MM  0.0  1.0    MM    MM    MM  MM 1010.7    MM   4.0    MM   MM   MM    MM
2022 02 10 11 00  MM  0.0  1.0    MM    MM    MM  MM 1010.6    MM   3.9    MM   MM   MM    MM
2022 02 10 10 50  MM  0.0  1.0   0.6    10   4.5 115 1010.5    MM   3.9    MM   MM   MM    MM
2022 02 10 10 40 330  1.0  3.0   0.6    MM   4.5 115 1010.6    MM   3.9    MM   MM   MM    MM
2022 02 10 10 30 330  1.0  3.0    MM    MM    MM  MM 1010.7    MM   3.9    MM   MM   MM    MM
2022 02 10 10 20 240  1.0  2.0    MM    MM    MM  MM 1010.5    MM   3.9    MM   MM   MM    MM
2022 02 10 10 10 220  2.0  3.0    MM    MM    MM  MM 1010.5    MM   3.9    MM   MM   MM    MM
2022 02 10 10 00 260  3.0  4.0    MM    MM    MM  MM 1010.8    MM   3.9    MM   MM -0.5    MM
2022 02 10 09 50 250  3.0  4.0   0.6     4   4.4 174 1010.8    MM   3.9    MM   MM   MM    MM
2022 02 10 09 40 240  4.0  6.0   0.6    MM   4.4 174 1010.8    MM   3.9    MM   MM   MM    MM
2022 02 10 09 30 270  4.0  6.0    MM    MM    MM  MM 1010.8    MM    MM    MM   MM   MM    MM
2022 02 10 09 20 230  3.0  4.0    MM    MM    MM  MM 1010.8    MM   3.9    MM   MM   MM    MM
2022 02 10 09 10 210  4.0  4.0    MM    MM    MM  MM 1010.8    MM   3.9    MM   MM   MM    MM
2022 02 10 09 00 220  3.0  4.0    MM    MM    MM  MM 1010.9    MM   4.0    MM   MM   MM    MM
2022 02 10 08 50 220  3.0  4.0   0.6    10   4.3 119 1011.0    MM   4.0    MM   MM   MM    MM
