#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 21 06 40  MM 11.0 16.0    MM    MM    MM  MM 1027.1    MM   7.1    MM   MM   MM    MM
2022 01 21 06 30  MM 11.0 15.0    MM    MM    MM  MM 1027.0    MM   7.1    MM   MM   MM    MM
2022 01 21 06 20  MM 12.0 14.0    MM    MM    MM  MM 1026.8    MM   7.1    MM   MM   MM    MM
2022 01 21 06 10  MM 11.0 14.0    MM    MM    MM  MM 1026.7    MM   7.1    MM   MM   MM    MM
2022 01 21 06 00  MM 12.0 15.0    MM    MM    MM  MM 1026.9    MM   7.1    MM   MM   MM    MM
2022 01 21 05 50  MM 12.0 15.0   1.7     5   4.4 358 1027.0    MM   7.1    MM   MM   MM    MM
2022 01 21 05 40  MM 12.0 17.0   1.7    MM   4.4 358 1026.7    MM   7.1    MM   MM   MM    MM
2022 01 21 05 30  MM 12.0 15.0    MM    MM    MM  MM 1026.7    MM   7.1    MM   MM   MM    MM
2022 01 21 05 20  MM 12.0 14.0    MM    MM    MM  MM 1026.8    MM   7.1    MM   MM   MM    MM
2022 01 21 05 10  MM 12.0 14.0    MM    MM    MM  MM 1026.8    MM   7.1    MM   MM   MM    MM
2022 01 21 05 00  MM 11.0 14.0    MM    MM    MM  MM 1026.7    MM   7.2    MM   MM +2.1    MM
2022 01 21 04 50  MM 11.0 14.0   1.5     5   4.3 359 1026.7    MM   7.2    MM   MM   MM    MM
2022 01 21 04 40  MM 12.0 15.0   1.5    MM   4.3 359 1026.5    MM   7.2    MM   MM   MM    MM
2022 01 21 04 30  MM 12.0 15.0    MM    MM    MM  MM 1026.5    MM   7.2    MM   MM   MM    MM
2022 01 21 04 20  MM 12.0 14.0    MM    MM    MM  MM 1026.5    MM   7.2    MM   MM   MM    MM
2022 01 21 04 10  MM 12.0 15.0    MM    MM    MM  MM 1026.4    MM   7.2    MM   MM   MM    MM
2022 01 21 04 00  MM 11.0 14.0    MM    MM    MM  MM 1026.2    MM   7.2    MM   MM +2.1    MM
2022 01 21 03 50  MM 12.0 14.0   1.7     5   4.3 359 1026.1    MM   7.2    MM   MM   MM    MM
2022 01 21 03 40  MM 11.0 15.0   1.7    MM   4.3 359 1026.1    MM   7.2    MM   MM   MM    MM
2022 01 21 03 30  MM 12.0 14.0    MM    MM    MM  MM 1026.1    MM   7.2    MM   MM   MM    MM
2022 01 21 03 20  MM 12.0 15.0    MM    MM    MM  MM 1025.6    MM   7.2    MM   MM   MM    MM
2022 01 21 03 10  MM 12.0 14.0    MM    MM    MM  MM 1025.6    MM   7.2    MM   MM   MM    MM
2022 01 21 03 00  MM 12.0 14.0    MM    MM    MM  MM 1025.4    MM   7.2    MM   MM   MM    MM
2022 01 21 02 50  MM 12.0 15.0   1.6     5   4.3   9 1025.5    MM   7.2    MM   MM   MM    MM
2022 01 21 02 40  MM 12.0 14.0   1.6    MM   4.3   9 1025.4    MM   7.2    MM   MM   MM    MM
2022 01 21 02 30  MM 12.0 15.0    MM    MM    MM  MM 1025.1    MM   7.2    MM   MM   MM    MM
2022 01 21 02 20  MM 12.0 14.0    MM    MM    MM  MM 1025.1    MM   7.2    MM   MM   MM    MM
2022 01 21 02 10  MM 12.0 14.0    MM    MM    MM  MM 1024.9    MM   7.2    MM   MM   MM    MM
2022 01 21 02 00  MM 11.0 14.0    MM    MM    MM  MM 1024.6    MM   7.2    MM   MM +2.0    MM
2022 01 21 01 50  MM 12.0 15.0   1.5     5   4.1  17 1024.5    MM   7.2    MM   MM   MM    MM
2022 01 21 01 40  MM 12.0 14.0   1.5    MM   4.1  17 1024.5    MM   7.2    MM   MM   MM    MM
2022 01 21 01 30  MM 12.0 14.0    MM    MM    MM  MM 1024.1    MM   7.2    MM   MM   MM    MM
2022 01 21 01 20  MM 11.0 14.0    MM    MM    MM  MM 1024.2    MM   7.2    MM   MM   MM    MM
2022 01 21 01 10  MM 10.0 12.0    MM    MM    MM  MM 1024.3    MM   7.2    MM   MM   MM    MM
2022 01 21 01 00  MM 10.0 13.0    MM    MM    MM  MM 1024.1    MM   7.2    MM   MM +2.5    MM
2022 01 21 00 50  MM 10.0 13.0   1.3     4   4.0   7 1024.0    MM   7.2    MM   MM   MM    MM
2022 01 21 00 40  MM 10.0 13.0   1.3    MM   4.0   7 1023.9    MM   7.1    MM   MM   MM    MM
2022 01 21 00 30  MM 10.0 13.0    MM    MM    MM  MM 1024.1    MM   7.1    MM   MM   MM    MM
2022 01 21 00 20  MM 10.0 12.0    MM    MM    MM  MM 1023.8    MM   7.1    MM   MM   MM    MM
2022 01 21 00 10  MM 10.0 13.0    MM    MM    MM  MM 1023.7    MM   7.1    MM   MM   MM    MM
